Название,Год,Страна,Режиссер,Рейтинг,Смотреть онлайн
Туз в рукаве,1951,США,Билли Уайлдер,7.8,False
Эйс Вентура: Розыск домашних животных,1993,США,Том Шэдьяк,7.8,False
Месть актера,1963,Япония,Кон Итикава,6.8,False
Зависимость,1994,США,Абель Феррара,6.3,False
Страховой агент,1991,Канада,Атом Эгоян,6.1,False
Приключения Бакару Банзая в восьмом измерении,1984,США,У. Д. Рихтер,5.7,False
Приключения Робин Гуда,1938,США,Майкл Кёртиц,7.0,False
После работы,1985,США,Мартин Скорсезе,7.5,False
"Агирре, гнев божий",1972,Германия (ФРГ),Вернер Херцог,7.7,False
Аэроплан,1980,США,Джим Абрахамс,7.4,False
Акира,1987,Япония,Кацухиро Отомо,7.8,False
Александр Невский,1938,СССР,Сергей Эйзенштейн,8.1,True
Элфи,1966,Великобритания,Льюис Гилберт,7.1,False
Алиса,1987,Чехословакия,Ян Шванкмайер,7.6,False
Чужой,1979,Великобритания,Ридли Скотт,8.1,False
Всё о моей матери,1999,Испания,Педро Альмодовар,7.8,False
"Все, что дозволено небесами",1955,США,Дуглас Сирк,7.1,False
Весь этот джаз,1979,США,Боб Фосси,7.7,False
Вся президентская рать,1976,США,Алан Дж. Пакула,7.5,False
Альфавиль,1965,Франция,Жан-Люк Годар,7.2,False
Амадей,1984,США,Милош Форман,8.2,False
Любовники с Нового моста,1991,Франция,Леос Каракс,7.7,False
Амели,2001,Франция,Жан-Пьер Жёне,8.0,True
Красота по-американски,1999,США,Сэм Мендес,8.0,False
Американский жиголо,1980,США,Пол Шредер,6.6,False
Американские граффити,1973,США,Джордж Лукас,7.2,False
Американец в Париже,1951,США,Винсент Миннелли,6.7,False
Американское кино,1999,США,Крис Смит,6.8,False
Американский пирог,1999,США,Пол Вайц,7.2,False
Американское великолепие,2003,США,Шари Спрингер Берман,6.7,True
Американский оборотень в Лондоне,1981,Великобритания,Джон Лэндис,6.9,False
Сука-любовь,2000,Мексика,Алехандро Гонсалес Иньярриту,7.9,False
Анатомия убийства,1959,США,Отто Преминджер,7.6,False
Андрей Рублев,1966,СССР,Андрей Тарковский,8.2,True
Ангел за моим столом,1990,Великобритания,Джейн Кэмпион,7.1,False
Энни Холл,1977,США,Вуди Аллен,7.8,False
Квартира,1960,США,Билли Уайлдер,8.0,False
Апокалипсис сегодня,1979,США,Фрэнсис Форд Коппола,8.1,False
Квартира,1996,Франция,Жиль Мимуни,7.6,False
Яблоко,1998,Иран,Самира Махмальбаф,6.9,False
Армия теней,1969,Франция,Жан-Пьер Мельвиль,7.7,False
Вокруг Света за 80 дней,1956,США,Майкл Андерсон,7.1,False
Мышьяк и старые кружева,1944,США,Фрэнк Капра,7.8,False
Асфальтовые джунгли,1950,США,Джон Хьюстон,7.3,False
Нападение на 13-й участок,1976,США,Джон Карпентер,7.2,False
"История Аси Клячиной, которая любила, да не вышла замуж",1967,СССР,Андрей Кончаловский,7.3,True
Аталанта,1934,Франция,Жан Виго,7.6,False
Быстрый бегун,2000,Канада,Захариас Кунук,6.9,False
Атлантик-Сити,1980,Франция,Луи Маль,7.0,False
"Наудачу, Бальтазар",1966,Франция,Робер Брессон,7.7,False
"До свидания, дети",1987,Франция,Луи Маль,7.7,False
Кинопроба,1999,Япония,Такаси Миике,6.3,False
Остин Пауэрс: Человек-загадка международного масштаба,1997,Германия,Джей Роуч,6.6,False
Приключение,1960,Италия,Микеланджело Антониони,7.8,False
Бэйб: Четвероногий малыш,1995,Австралия,Крис Нунен,7.0,False
Пир Бабетты,1987,Дания,Габриэль Аксель,7.2,False
Назад в будущее,1985,США,Роберт Земекис,8.6,False
Непослушный Бабби,1993,Австралия,Рольф Де Хер,6.9,False
Плохой день в Блэк-Роке,1955,США,Джон Стёрджес,7.0,False
Плохой лейтенант,1992,США,Абель Феррара,7.1,False
Плохой Санта,2003,США,Терри Цвигофф,7.4,False
Пустоши,1973,США,Терренс Малик,7.6,False
Кафе «Багдад»,1987,Германия (ФРГ),Перси Адлон,7.2,False
Бемби,1942,США,Джеймс Элгар,8.1,True
Банда аутсайдеров,1964,Франция,Жан-Люк Годар,7.7,False
Королева бандитов,1994,Индия,Шекхар Капур,5.9,False
Барбарелла,1968,Франция,Роже Вадим,6.3,False
Барри Линдон,1975,Великобритания,Стэнли Кубрик,8.0,False
Бартон Финк,1991,Великобритания,Джоэл Коэн,7.7,False
Бэтмен,1989,США,Тим Бёртон,7.5,False
Битва за Алжир,1966,Италия,Джилло Понтекорво,7.6,False
Королевская битва,2000,Япония,Киндзи Фукасаку,7.3,True
Броненосец «Потемкин»,1925,СССР,Сергей Эйзенштейн,7.9,True
Мое сердце биться перестало,2005,Франция,Жак Одиар,7.1,False
Хорошая работа,1999,Франция,Клер Дени,6.7,False
Бекет,1964,Великобритания,Питер Гленвилл,7.6,False
Перед рассветом,1995,США,Ричард Линклейтер,8.0,False
Быть Джоном Малковичем,1999,США,Спайк Джонс,7.3,False
Будучи там,1979,США,Хэл Эшби,7.7,False
Дневная красавица,1967,Франция,Луис Бунюэль,7.4,False
Очаровательная проказница,1991,Франция,Жак Риветт,7.4,False
Трио из Бельвилля,2003,Франция,Сильвен Шомэ,7.7,False
Бен-Гур,1959,США,Уильям Уайлер,8.1,False
Человек-зверь,1938,Франция,Жан Ренуар,7.1,False
Зверь,1975,Франция,Валериан Боровчик,5.7,False
Уж лучше умереть,1985,США,Сэвидж Стив Холланд,6.6,False
"37,2º утром",1986,Франция,Жан-Жак Бенекс,7.3,False
Полицейский из Беверли-Хиллз,1984,США,Мартин Брест,7.6,False
Изнанка долины кукол,1970,США,Расс Майер,5.9,False
Похитители велосипедов,1948,Италия,Витторио Де Сика,7.9,True
Большое разочарование,1983,США,Лоуренс Кэздан,6.7,False
Большой ансамбль,1955,США,Джозеф Х. Льюис,6.9,False
Сильная жара,1953,США,Фриц Ланг,7.3,False
Большой Лебовски,1998,Великобритания,Джоэл Коэн,7.8,False
Большая ночь,1996,США,Кэмпбелл Скотт,7.0,False
Большой парад,1925,США,Кинг Видор,7.0,False
Глубокий сон,1946,США,Ховард Хоукс,7.3,False
Все решается в среду,1978,США,Джон Милиус,7.1,False
Невероятные приключения Билла и Теда,1989,США,Стивен Херек,6.6,False
Птицы,1963,США,Альфред Хичкок,7.5,False
Рождение нации,1915,США,Дэвид Уорк Гриффит,7.1,False
"Черная кошка, белый кот",1998,Франция,Эмир Кустурица,8.0,False
Школьные джунгли,1955,США,Ричард Брукс,7.1,False
Школьные доски,2000,Иран,Самира Махмальбаф,6.0,False
Бегущий по лезвию,1982,США,Ридли Скотт,7.7,False
Ведьма из Блэр: Курсовая с того света,1999,США,Дэниэл Мирик,6.5,False
Сверкающие седла,1974,США,Мэл Брукс,6.7,False
Любовные похождения блондинки,1965,Чехословакия,Милош Форман,7.5,False
Фотоувеличение,1966,Великобритания,Микеланджело Антониони,7.7,False
Голубой ангел,1930,Германия,Джозеф фон Штернберг,7.6,False
Синий георгин,1946,США,Джордж Маршалл,6.6,False
Синяя лампа,1950,Великобритания,Бэзил Дирден,6.0,False
Синий бархат,1986,США,Дэвид Линч,7.5,False
Братья Блюз,1980,США,Джон Лэндис,7.7,False
Боб-прожигатель,1956,Франция,Жан-Пьер Мельвиль,6.9,False
Тело и душа,1947,США,Роберт Россен,6.7,False
Аргентинский дог,2004,Аргентина,Карлос Сорин,6.4,False
Бонни и Клайд,1967,США,Артур Пенн,7.7,False
Ночи в стиле буги,1997,США,Пол Томас Андерсон,7.4,False
Подводная лодка,1981,Германия (ФРГ),Вольфганг Петерсен,8.1,False
Борат,2006,США,Ларри Чарльз,6.7,False
Бостонский душитель,1968,США,Ричард Флейшер,6.7,False
Мясник,1969,Франция,Клод Шаброль,7.2,False
Боулинг для Колумбины,2002,США,Майкл Мур,7.7,False
Ребята с улицы,1991,США,Джон Синглтон,7.7,False
Семейка Брэди,1995,США,Бетти Томас,5.6,False
Рождённый убивать,1967,Япония,Сэйдзюн Судзуки,7.1,False
Храброе сердце,1995,США,Мэл Гибсон,8.3,False
Бразилия,1985,Великобритания,Терри Гиллиам,7.7,False
Завтрак у Тиффани,1961,США,Блейк Эдвардс,8.0,False
Уходя в отрыв,1979,США,Питер Йетс,7.2,False
Рассекая волны,1996,Дания,Ларс фон Триер,7.9,False
На последнем дыхании,1960,Франция,Жан-Люк Годар,7.8,False
Кирпич,2005,США,Райан Джонсон,6.9,False
Невеста Франкенштейна,1935,США,Джеймс Уэйл,7.1,False
Мост через реку Квай,1957,Великобритания,Дэвид Лин,7.7,False
Короткая встреча,1945,Великобритания,Дэвид Лин,7.7,False
Яркий летний день,1991,Тайвань,Эдвард Ян,7.3,False
Брайтонский леденец,1948,Великобритания,Джон Боултинг,6.8,False
Принесите мне голову Альфредо Гарсиа,1974,США,Сэм Пекинпа,7.2,False
Воспитание Крошки,1938,США,Ховард Хоукс,7.7,True
Бродвей Денни Роуз,1984,США,Вуди Аллен,7.2,False
Горбатая гора,2005,США,Энг Ли,7.6,False
Баффало 66,1997,США,Винсент Галло,7.7,False
Багси Мэлоун,1976,Великобритания,Алан Паркер,7.3,False
Дархэмские быки,1988,США,Рон Шелтон,6.6,False
Детектив Буллитт,1968,США,Питер Йетс,7.2,False
Утомленные солнцем,1994,Россия,Никита Михалков,7.8,False
Буч Кэссиди и Сандэнс Кид,1969,США,Джордж Рой Хилл,8.0,False
Кабаре,1972,США,Боб Фосси,8.0,False
Кабинет доктора Калигари,1920,Германия,Роберт Вине,7.8,False
Клетка для чудаков,1978,Франция,Эдуар Молинаро,7.3,False
Кентерберийская история,1944,Великобритания,Майкл Пауэлл,6.8,False
Захват Фридманов,2003,США,Эндрю Джареки,6.4,False
Караваджо,1986,Великобритания,Дерек Джармен,7.1,False
Так держать Клео!,1964,Великобритания,Джералд Томас,6.2,False
"Машины, которые съели Париж...",1974,Австралия,Питер Уир,5.6,False
Касабланка,1942,США,Майкл Кёртиц,8.0,True
Казино,1995,США,Мартин Скорсезе,8.1,False
Кошка на раскаленной крыше,1958,США,Ричард Брукс,7.9,False
Селин и Жюли совсем заврались,1974,Франция,Жак Риветт,7.1,False
Цементный сад,1992,Великобритания,Эндрю Биркин,6.8,False
Центральный вокзал,1998,Бразилия,Уолтер Саллес,7.6,False
Церемония,1995,Франция,Клод Шаброль,7.2,False
Атака легкой кавалерии,1968,Великобритания,Тони Ричардсон,6.7,False
Огненные колесницы,1981,Великобритания,Хью Хадсон,6.8,False
Шахматисты,1977,Индия,Сатьяджит Рай,7.3,False
Побег из курятника,2000,Великобритания,Питер Лорд,7.0,True
Андалузский пес,1929,Франция,Луис Бунюэль,7.3,False
Дитя,2005,Бельгия,Жан-Пьер Дарденн,6.9,False
Китайский квартал,1974,США,Роман Полански,7.7,False
Чак и Бак,2000,США,Мигель Артета,5.8,False
Чунгкингский экспресс,1994,Гонконг,Вонг Кар-Вай,7.8,True
Болото,2001,Аргентина,Лукресия Мартель,6.1,False
Цинциннати Кид,1965,США,Норман Джуисон,7.4,False
Новый кинотеатр «Парадизо»,1988,Италия,Джузеппе Торнаторе,8.0,True
Гражданин Кейн,1941,США,Орсон Уэллс,7.7,True
Город бога,2002,Бразилия,Фернанду Мейреллиш,8.0,True
Клерки,1994,США,Кевин Смит,7.7,False
Заводной апельсин,1971,Великобритания,Стэнли Кубрик,7.9,False
Близкие контакты третьей степени,1977,США,Стивен Спилберг,7.2,False
Поезда под пристальным наблюдением,1966,Чехословакия,Иржи Менцель,7.5,False
Крупный план,1990,Иран,Аббас Киаростами,7.7,False
Бестолковые,1995,США,Эми Хекерлинг,7.1,False
Блюз членососа,1972,США,Роберт Фрэнк,5.9,False
Хладнокровный Люк,1967,США,Стюарт Розенберг,7.7,False
Товарищи,1986,Великобритания,Билл Дуглас,-1.0,False
Блеф Кугана,1968,США,Дон Сигел,6.4,False
Цвет граната,1968,СССР,Сергей Параджанов,8.1,False
Иди и смотри,1985,СССР,Элем Климов,8.3,True
В компании волков,1984,Великобритания,Нил Джордан,6.7,False
Воздушная тюрьма,1997,США,Саймон Уэст,7.6,False
Конформист,1970,Италия,Бернардо Бертолуччи,7.9,True
Последствия любви,2004,Италия,Паоло Соррентино,7.4,False
Разговор,1974,США,Фрэнсис Форд Коппола,7.6,False
"Повар, вор, его жена и её любовник",1989,Нидерланды,Питер Гринуэй,7.7,False
Ворон,1942,Франция,Анри-Жорж Клузо,7.7,False
Летят журавли,1957,СССР,Михаил Калатозов,8.4,True
Автокатастрофа,1996,Великобритания,Дэвид Кроненберг,6.6,False
Кремастер,1996,США,Мэттью Барни,6.3,False
Преступления и проступки,1989,США,Вуди Аллен,7.2,False
Крокодил Данди,1986,Австралия,Питер Фэймен,7.2,False
Хронос,1992,Мексика,Гильермо дель Торо,6.4,False
Круклин,1994,США,Спайк Ли,6.8,False
Перекрестный огонь,1947,США,Эдвард Дмитрик,6.3,False
"Крадущийся тигр, затаившийся дракон",2000,Тайвань,Энг Ли,7.4,False
Крамб,1994,США,Терри Цвигофф,7.4,False
Жестокая игра,1992,Великобритания,Нил Джордан,7.0,False
Тупик,1966,Великобритания,Роман Полански,7.4,False
Сирано де Бержерак,1990,Франция,Жан-Поль Раппно,7.7,False
Танцующая в темноте,2000,Дания,Ларс фон Триер,8.0,True
Опасные связи,1988,США,Стивен Фрирз,7.8,False
Дантон,1982,Франция,Анджей Вайда,7.6,False
Тёмная Звезда,1974,США,Джон Карпентер,6.6,False
Дорогая,1965,Великобритания,Джон Шлезингер,7.4,False
Американская ночь,1973,Франция,Франсуа Трюффо,7.7,False
"День, когда остановилась Земля",1951,США,Роберт Уайз,7.0,False
Дикие дни,1990,Гонконг,Вонг Кар-Вай,7.3,False
Дни жатвы,1978,США,Терренс Малик,7.4,False
Под кайфом и в смятении,1993,США,Ричард Линклейтер,7.0,False
Мертвые пледов не носят,1982,США,Карл Райнер,6.9,False
Глубокой ночью,1945,Великобритания,Альберто Кавальканти,7.4,False
Мертвые президенты,1995,США,Альберт Хьюз,6.9,False
Связанные насмерть,1988,Канада,Дэвид Кроненберг,7.0,False
Дорогой дневник,1993,Италия,Нанни Моретти,6.6,False
Смерть в Венеции,1971,Италия,Лукино Висконти,7.8,False
Падение западной цивилизации 2: Года металла,1988,США,Пенелопа Сфирис,6.6,False
Охотник на оленей,1978,США,Майкл Чимино,7.8,False
Избавление,1972,США,Джон Бурмен,7.2,False
Отчаянно ищу Сьюзэн,1985,США,Сьюзэн Сейдельман,6.7,False
Объезд,1945,США,Эдгар Дж. Улмер,7.1,False
Девдас,2002,Индия,Санджай Лила Бхансали,8.2,False
Дьявол в голубом платье,1995,США,Карл Франклин,6.6,False
Дьяволы,1971,Великобритания,Кен Рассел,7.8,False
Дьяволицы,1954,Франция,Анри-Жорж Клузо,7.7,False
Дневник сельского священника,1951,Франция,Робер Брессон,7.9,False
Дик Трэйси,1990,США,Уоррен Битти,6.6,False
Крепкий орешек,1988,США,Джон Мактирнан,8.0,False
Врубайся!,2004,США,Онди Тимонер,6.5,False
Забегаловка,1982,США,Барри Левинсон,6.9,False
Грязные танцы,1987,США,Эмиль Ардолино,8.1,False
Грязная дюжина,1967,Великобритания,Роберт Олдрич,7.2,False
Грязный Гарри,1971,США,Дон Сигел,7.5,False
Отпетые мошенники,1988,США,Фрэнк Оз,8.0,False
Скромное обаяние буржуазии,1972,Франция,Луис Бунюэль,7.7,False
"Далекие голоса, застывшие жизни",1988,Великобритания,Теренс Дэвис,6.9,False
Дива,1981,Франция,Жан-Жак Бенекс,7.1,False
Джанго,1966,Италия,Серджио Корбуччи,7.4,True
Делай как надо,1989,США,Спайк Ли,7.2,False
Вышибалы,2004,Германия,Роусон Маршалл Тёрбер,6.3,False
Собачий полдень,1975,США,Сидни Люмет,7.7,False
Парни на скейтах,2001,США,Стэйси Перальта,7.6,False
Догвилль,2003,Дания,Ларс фон Триер,8.0,True
Сладкая жизнь,1960,Италия,Федерико Феллини,7.9,True
Не оглядывайся,1967,США,Д.А. Пеннебейкер,7.4,False
А теперь не смотри,1973,Великобритания,Николас Роуг,6.9,False
Донни Браско,1997,США,Майк Ньюэлл,7.8,False
Донни Дарко,2001,США,Ричард Келли,7.6,True
Двойная страховка,1944,США,Билли Уайлдер,7.9,False
Поллюкс и синий кот,1970,Франция,Серж Дано,-1.0,False
Стукач,1962,Франция,Жан-Пьер Мельвиль,7.6,False
Вне закона,1986,США,Джим Джармуш,7.8,True
Бункер,2004,Германия,Оливер Хиршбигель,7.8,False
"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1963,Великобритания,Стэнли Кубрик,8.0,False
Доктор Живаго,1965,Италия,Дэвид Лин,7.1,False
Дракула,1958,Великобритания,Теренс Фишер,6.8,False
Контракт рисовальщика,1982,Великобритания,Питер Гринуэй,7.4,False
Воображаемая жизнь ангелов,1998,Франция,Эрик Зонка,6.8,False
"Сны, которые можно купить за деньги",1947,США,Ханс Рихтер,6.8,False
Костюмер,1983,Великобритания,Питер Йетс,7.3,False
Аптечный ковбой,1989,США,Гас Ван Сент,7.2,False
Пьяный мастер,1978,Гонконг,Юэнь У-Пин,7.8,False
Утиный суп,1933,США,Лео МакКери,6.8,False
Тупой и еще тупее,1994,США,Питер Фаррелли,7.2,False
К востоку от рая,1955,США,Элиа Казан,7.8,False
Беспечный ездок,1969,США,Деннис Хоппер,7.6,False
Эдвард II,1991,Великобритания,Дерек Джармен,7.1,False
Эдвард руки-ножницы,1990,США,Тим Бёртон,8.0,False
8 с половиной,1963,Италия,Федерико Феллини,8.0,True
Восемь выходят из игры,1988,США,Джон Сейлз,6.7,False
8 миля,2002,США,Кёртис Хэнсон,7.7,False
Выскочка,1999,США,Александр Пэйн,6.6,False
Слон,2003,США,Гас Ван Сент,6.4,True
Человек-слон,1980,США,Дэвид Линч,8.1,False
Елизавета,1998,Великобритания,Шекхар Капур,7.7,False
Элмер Гантри,1960,США,Ричард Брукс,7.2,False
Империя солнца,1987,США,Стивен Спилберг,7.9,False
Конец века,2003,США,Джим Филдс,6.9,False
Бесконечное лето,1966,США,Брюс Браун,7.1,False
Дети райка,1945,Франция,Марсель Карне,7.9,False
Английский пациент,1996,США,Энтони Мингелла,7.9,False
"Каждый за себя, а Бог против всех",1974,Германия (ФРГ),Вернер Херцог,7.7,False
Выход Дракона,1973,Гонконг,Роберт Клауз,7.8,False
Голова-ластик,1977,США,Дэвид Линч,7.3,True
Инопланетянин,1982,США,Стивен Спилберг,7.8,False
Вечное сияние чистого разума,2004,США,Мишель Гондри,8.0,False
Зловещие мертвецы,1981,США,Сэм Рэйми,7.2,False
Изгоняющий дьявола,1973,США,Уильям Фридкин,7.7,False
Глаза без лица,1959,Франция,Жорж Франжю,7.0,False
Знаменитые братья Бейкер,1989,США,Стивен Кловз,7.1,False
Лицо в толпе,1957,США,Элиа Казан,7.4,False
Без лица,1997,США,Джон Ву,7.8,False
Факультет,1998,США,Роберт Родригес,7.3,False
Фаренгейт 9/11,2004,США,Майкл Мур,7.7,False
Поверженный идол,1948,Великобритания,Кэрол Рид,7.4,False
Фанни и Александр,1982,Швеция,Ингмар Бергман,7.9,True
Вдали от рая,2002,США,Тодд Хейнс,6.7,False
"Прощай, моя наложница",1993,Китай,Чэнь Кайгэ,7.7,False
Фарго,1995,Великобритания,Джоэл Коэн,7.6,False
Беспечные времена в «Риджмонт Хай»,1982,США,Эми Хекерлинг,6.7,False
"Быстрее, кошечка! Убей, убей!",1965,США,Расс Майер,6.6,False
Страх съедает душу,1974,Германия (ФРГ),Райнер Вернер Фассбиндер,7.7,False
Выходной день Ферриса Бьюллера,1986,США,Джон Хьюз,7.6,False
Торжество,1998,Дания,Томас Винтерберг,7.4,False
Поле чудес,1989,США,Фил Олден Робинсон,7.2,False
Пятый элемент,1997,Франция,Люк Бессон,8.2,True
Бойцовский клуб,1999,США,Дэвид Финчер,8.7,False
Начались пожары,1943,Великобритания,Хамфри Дженнингс,5.7,False
Рыбка по имени Ванда,1988,Великобритания,Чарльз Крайтон,7.3,False
Кулаки в кармане,1965,Италия,Марко Беллоккьо,7.7,False
Фицкарральдо,1982,Германия (ФРГ),Вернер Херцог,7.9,False
Пять легких пьес,1970,США,Боб Рейфелсон,7.4,False
Плоть,1968,США,Пол Моррисси,5.8,False
Не будите спящую собаку,1996,США,Дэвид О. Расселл,6.4,False
Муха,1986,США,Дэвид Кроненберг,7.3,False
Силы зла,1948,США,Абрахам Полонски,6.6,False
Азарт удачи,1966,США,Билли Уайлдер,7.4,False
Четыре всадника Апокалипсиса,1921,США,Рекс Ингрэм,6.7,False
Четыреста ударов,1959,Франция,Франсуа Трюффо,8.1,False
Франкенштейн,1931,США,Джеймс Уэйл,7.4,False
